House Name,House Price,House Location,House Info,House Link
Pent House For Sale Shamsi Society Portion 3rd Floor With Roof,"10,000,000","Shamsi Society, Karachi•",Studio1125 SQYD,https://www.olx.com.pk/item/pent-house-for-sale-shamsi-society-portion-3rd-floor-with-roof-iid-1100047993
sadaf society bungalow for sale in johar,"30,000,000","Sadaf Cooperative Housing Society, Karachi•",6+6120 SQYD,https://www.olx.com.pk/item/sadaf-society-bungalow-for-sale-in-johar-iid-1100882415
House For Sale Sheet 27 Model Colony 120 Sqyd Near Main Road,"32,500,000","Model Colony - Malir, Karachi•",45120 SQYD,https://www.olx.com.pk/item/house-for-sale-sheet-27-model-colony-120-sqyd-near-main-road-iid-1100691810
Falak naz dreams 120 sqyd house available for sale,"16,000,000","Falaknaz Dreams, Karachi•",47+120 SQYD,https://www.olx.com.pk/item/falak-naz-dreams-120-sqyd-house-available-for-sale-iid-1100275657
200 sqyd house for sale model colony sheet 17,"27,500,000","Model Colony - Malir, Karachi•",6+7+200 SQYD,https://www.olx.com.pk/item/200-sqyd-house-for-sale-model-colony-sheet-17-iid-1100275516
House for sale railway housing society near airport malir halt,"33,000,000","Airport Road, Karachi•",6+7+215 SQYD,https://www.olx.com.pk/item/house-for-sale-railway-housing-society-near-airport-malir-halt-iid-1100084774
House for sale model colony 100 sqyd ground plus 3,"16,000,000","Model Colony - Malir, Karachi•",6+7+100 SQYD,https://www.olx.com.pk/item/house-for-sale-model-colony-100-sqyd-ground-plus-3-iid-1100083959
House for sale near airport malir halt alamgir society,"16,000,000","Airport Road, Karachi•",23120 SQYD,https://www.olx.com.pk/item/house-for-sale-near-airport-malir-halt-alamgir-society-iid-1099969800
5 Marla Good Condition Used House Available For Sale,"21,500,000","Bahria Town - Sector D, Lahore•",345 Marla,https://www.olx.com.pk/item/5-marla-good-condition-used-house-available-for-sale-iid-1100882378
6 Room Bungalow 120 Square Yard Ready To Move House Boundary Wall Society Kings Garden Phase - 1 Scheme 33 Near To Capital Society,"26,000,000","Kings Garden, Karachi•",46120 SQYD,https://www.olx.com.pk/item/6-room-bungalow-120-square-yard-ready-to-move-house-boundary-wall-society-kings-garden-phase-1-scheme-33-near-to-capital-society-iid-1100237136
leased bungalow 120y g+2 for sale in johar,"500,000","Gulistan-e-Jauhar Block 7, Karachi•",6+6120 SQYD,https://www.olx.com.pk/item/leased-bungalow-120y-g2-for-sale-in-johar-iid-1100882349
Comercial Brand New Project New Newly Construction Shop Main Shaheed e Milat Road Great Investment Opportunity Handsome Rental Income More Details On Description,"130,000,000","Kings Luxury Apartments, Karachi•","Studio12,260 SQFT",https://www.olx.com.pk/item/comercial-brand-new-project-new-newly-construction-shop-main-shaheed-e-milat-road-great-investment-opportunity-handsome-rental-income-more-details-on-description-iid-1100699245
Newly Construction Top Floor With Paint House Gulistan E Johar Block 15 Beside Continatal Bakery,"31,000,000","Kings Tower, Karachi•","553,300 SQFT",https://www.olx.com.pk/item/newly-construction-top-floor-with-paint-house-gulistan-e-johar-block-15-beside-continatal-bakery-iid-1100237155
Double Story House at Prime Location,"25,000,000","Haroon Bahria Society - Sector 2, Karachi•",45120 SQYD,https://www.olx.com.pk/item/double-story-house-at-prime-location-iid-1100039868
An Architect Designed 25x50 Feet House In D-12/1 For Sale,"55,000,000","D-12/1, Islamabad•",555 Marla,https://www.olx.com.pk/item/an-architect-designed-25x50-feet-house-in-d-121-for-sale-iid-1099958881
Wapda City Brand New 5 Marla House For Sale,"20,000,000","Wapda City, Faisalabad•",345 Marla,https://www.olx.com.pk/item/wapda-city-brand-new-5-marla-house-for-sale-iid-1100791232
Original Picture Attached House at only Plot Price,"74,900,000","DHA Phase 5 - Block K, Lahore•",5620 Marla,https://www.olx.com.pk/item/original-picture-attached-house-at-only-plot-price-iid-1100216067
1 Kanal Near To Park Brand New House For Sale In Sector M-3 Lake City Raiwind Road Lahore,"92,500,000","Lake City, Lahore•",6+61 Kanal,https://www.olx.com.pk/item/1-kanal-near-to-park-brand-new-house-for-sale-in-sector-m-3-lake-city-raiwind-road-lahore-iid-1100584561
"DHA Phase 5, 01 Kanal, 05 Bed, Fully Furnished Luxurious House With Basement For Sale.","169,000,000","DHA Phase 5, Lahore•",561 Kanal,https://www.olx.com.pk/item/dha-phase-5-01-kanal-05-bed-fully-furnished-luxurious-house-with-basement-for-sale-iid-1100817582
8 MARLA HOUSE FOR SALE MULTI F-17 ISLAMABAD ALL FACILITY AVAILABLE,"20,500,000","F-17, Islamabad•",568 Marla,https://www.olx.com.pk/item/8-marla-house-for-sale-multi-f-17-islamabad-all-facility-available-cda-approved-sector-mpchs-iid-1099658237
5 marla double story Spanish house,"17,500,000","Central Park Housing Scheme, Lahore•",335 Marla,https://www.olx.com.pk/item/5-marla-double-story-spanish-house-iid-1100411832
Stunning 10 Marla Contemporary House in Banker Avenue Dont Miss Out!,"29,000,000","Bankers Avenue, Lahore•",5610 Marla,https://www.olx.com.pk/item/stunning-10-marla-contemporary-house-in-banker-avenue-dont-miss-out-iid-1100217696
